file,grupo,duracion_s,voz_s,pct_voz,pct_silencio,piso_ruido_dbfs,n_turnos,turnos_por_min,dur_turno_mediana_s,dur_turno_p90_s,pausa_mediana_s,pausa_max_s,pct_sonoro,pct_solape_sobre_voz,solape_s,f0_mediana_hz,f0_iqr_hz,tonos_red_s,tonos_red_tipo
0445c357-e465-49ae-8067-bfa91d11b532.wav,humano,309.52,251.5,81.26,18.74,-67.27,162,31.4,0.94,3.26,0.45,2.46,73.22,5.29,11.98,250.0,44.4,0.0,
09115a4a-ac50-4425-9dbc-b551a0b5342c.wav,humano,87.2,74.26,85.16,14.84,-61.76,80,55.05,0.6,1.8,0.38,0.56,73.08,5.6,3.57,216.2,59.5,0.0,
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.wav,humano,105.64,89.6,84.82,15.18,-72.05,45,25.56,0.91,4.13,0.42,1.38,66.91,22.01,15.55,228.6,59.5,0.0,
0c6ada7d-d8c5-4840-ae79-0d8d573183dc.wav,humano,141.48,63.97,45.21,54.79,-72.25,12,5.09,2.42,3.66,5.01,59.97,27.26,33.57,12.94,166.7,115.0,0.0,
0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,humano,594.72,444.74,74.78,25.22,-61.96,253,25.52,1.06,3.81,0.35,3.33,59.51,5.37,19.01,258.1,50.4,0.0,
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1.wav,humano,224.62,178.26,79.36,20.64,-64.18,127,33.92,0.7,2.99,0.45,2.45,57.55,12.92,16.7,216.2,101.9,0.0,
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,humano,160.76,128.35,79.84,20.16,-66.99,108,40.31,0.53,1.61,0.66,1.71,60.25,11.47,11.1,222.2,79.8,0.0,
1f5cda00-bbf3-4770-97dc-99760ddadc1b.wav,humano,143.74,118.34,82.33,17.67,-61.85,107,44.66,0.66,1.96,0.56,1.76,68.06,11.06,10.82,222.2,59.5,0.0,
2a92a64c-6ea8-48a0-b47a-445a3c577199.wav,humano,626.2,483.47,77.21,22.79,-51.57,666,63.81,0.45,1.12,0.42,2.06,68.83,7.59,32.7,250.0,53.6,0.0,
2b377b6a-4fa1-4910-8d68-9ee05f7c302a.wav,humano,202.66,154.4,76.19,23.81,-64.64,144,42.63,0.59,1.99,0.51,3.26,61.44,8.92,11.1,222.2,50.0,0.0,
2d454b7b-9f12-4acb-8101-d3ba74bb84ff.wav,humano,578.9,470.72,81.31,18.69,-56.28,302,31.3,1.15,3.23,0.38,3.28,66.67,7.95,30.67,250.0,70.7,0.0,
2e50e9db-53c9-4472-ad05-1ba1032dd707.wav,humano,123.4,93.89,76.08,23.92,-61.7,97,47.16,0.58,1.7,0.59,1.92,60.17,14.55,10.8,200.0,115.0,0.0,
306c762c-73a1-4690-962d-53f1a14f05b6.wav,humano,132.6,105.38,79.47,20.53,-68.58,140,63.35,0.54,1.19,0.46,1.6,55.53,7.39,5.44,195.1,103.6,0.0,
336a8602-1b56-4ca6-9dcc-7491b9a92a8a.wav,humano,76.0,62.91,82.78,17.22,-63.18,51,40.26,0.93,2.08,0.38,1.01,67.61,11.34,5.82,216.2,59.5,0.0,
380f5075-47be-435f-b595-7e2c48dbb21b.wav,humano,74.56,61.84,82.94,17.06,-64.91,56,45.06,0.82,1.58,0.4,1.28,67.4,11.46,5.76,250.0,58.4,0.0,
38482ca0-4501-4b4c-99b5-16313e8eb12f.wav,humano,299.5,229.1,76.5,23.5,-56.44,284,56.89,0.53,1.31,0.5,2.35,63.24,11.78,22.3,142.9,50.8,0.0,
440cb585-d675-4ed9-afa4-934e2a0aae90.wav,humano,201.9,154.45,76.5,23.5,-68.67,149,44.28,0.53,1.67,0.59,2.43,63.73,10.48,13.49,190.5,81.4,0.0,
50e0f632-d195-4476-b049-3720482d65d9.wav,humano,116.42,103.31,88.74,11.26,-58.0,44,22.68,0.82,4.86,0.75,3.34,67.75,14.85,11.71,195.1,107.1,0.0,
635a7986-ddd2-47f3-a6de-82a217053afa.wav,humano,166.74,116.3,69.75,30.25,-49.27,119,42.82,0.46,1.37,0.49,2.22,57.32,12.86,12.29,216.2,86.7,0.0,
63b9a147-5c33-40ba-87c7-124e4be56cda.wav,humano,243.4,142.35,58.48,41.52,-55.46,155,38.21,0.48,1.37,0.5,4.61,45.83,9.38,10.46,222.2,68.2,0.0,
66c2db61-5a3d-4020-a90a-007a029d0879.wav,humano,137.76,94.45,68.56,31.44,-51.09,99,43.12,0.43,1.18,0.37,1.5,52.61,16.49,11.95,216.2,76.1,0.0,
67197ac4-63d9-4567-9e89-896e715ab906.wav,humano,395.24,328.35,83.08,16.92,-61.01,237,35.98,0.69,3.28,0.4,2.08,70.4,7.67,21.34,250.0,58.1,0.0,
6854b6cc-c858-4dd4-b326-b7d6fe55843a.wav,humano,160.78,120.66,75.04,24.96,-60.75,98,36.57,0.71,1.92,0.38,2.13,60.42,10.86,10.54,242.4,91.4,0.0,
693045ed-afc8-4c9c-9eee-f7e34281fb16.wav,humano,177.64,126.51,71.22,28.78,-47.25,141,47.62,0.54,1.15,0.46,1.28,51.97,11.02,10.18,153.8,82.9,0.0,
6bbff5d5-7d85-4587-94d9-4e44d4e4055b.wav,humano,294.54,209.63,71.17,28.83,-57.55,251,51.13,0.58,1.33,0.61,4.26,57.25,9.86,16.62,125.0,32.8,0.0,
73ddf5ba-7005-41a6-88b5-be98fb909764.wav,humano,145.24,110.3,75.95,24.05,-61.4,105,43.38,0.51,1.7,0.7,2.46,55.87,15.34,12.45,200.0,93.1,0.0,
