file,grupo,sample_rate,canales,bits,n_muestras,duracion_s,bytes,rms_dbfs,pico_dbfs,dc_offset,pct_clipping,ruido_dbfs,voz_dbfs,snr_db,pct_silencio,freq_p95_hz,energia_sobre_3400,niveles_unicos,huella_g711,n_pitidos,pitidos_s,pct_pitidos,pitido_freq_hz,n_segmentos_voz,dur_media_segmento_s
0445c357-e465-49ae-8067-bfa91d11b532.wav,humano,8000,1,16,2476160,309.52,4952364,-19.59,-0.17,0.000104,0.0,-65.31,-15.01,50.3,14.89,1040.0,0.032,10403,False,18,16.61,5.37,1000.0,146,1.74
09115a4a-ac50-4425-9dbc-b551a0b5342c.wav,humano,8000,1,16,697600,87.2,1395244,-21.03,-3.5,5.9e-05,0.0,-56.34,-15.01,41.33,7.27,1040.0,0.014,6775,False,12,10.35,11.87,1000.0,50,1.59
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5.wav,humano,8000,1,16,845120,105.64,1690284,-20.11,0.0,-1.8e-05,0.0001,-67.82,-15.16,52.66,12.7,1680.0,0.111,14063,False,0,0,0.0,0.0,41,2.21
0c6ada7d-d8c5-4840-ae79-0d8d573183dc.wav,humano,8000,1,16,1131840,141.48,2263724,-21.88,-0.17,8.6e-05,0.0,-72.25,-18.61,53.64,53.95,1160.0,0.054,16081,False,0,0,0.0,0.0,12,5.41
0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,humano,8000,1,16,4757760,594.72,9515564,-18.38,0.0,-8e-05,0.0006,-59.23,-13.19,46.03,12.06,1680.0,0.443,12706,False,26,18.74,3.15,1000.0,279,1.76
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1.wav,humano,8000,1,16,1796960,224.62,3593964,-19.21,0.0,9.6e-05,0.0001,-60.76,-15.01,45.75,11.35,1040.0,0.017,15545,False,22,16.58,7.38,1000.0,94,2.05
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,humano,8000,1,16,1286080,160.76,2572204,-20.35,-0.0,-8e-06,0.0001,-62.51,-15.01,47.49,12.72,1640.0,0.066,12862,False,19,19.05,11.85,1000.0,83,1.64
1f5cda00-bbf3-4770-97dc-99760ddadc1b.wav,humano,8000,1,16,1149920,143.74,2299884,-21.42,-0.17,-7e-06,0.0,-58.7,-15.01,43.69,8.18,1520.0,0.066,11951,False,10,12.76,8.88,1000.0,51,2.49
2a92a64c-6ea8-48a0-b47a-445a3c577199.wav,humano,8000,1,16,5009600,626.2,10019244,-19.19,0.0,4.7e-05,0.0004,-48.55,-14.27,34.28,0.5,1840.0,0.036,16042,False,8,7.16,1.14,1000.0,28,22.21
2b377b6a-4fa1-4910-8d68-9ee05f7c302a.wav,humano,8000,1,16,1621280,202.66,3242604,-21.84,-0.75,0.000158,0.0,-61.99,-16.8,45.18,10.41,1040.0,0.078,11865,False,6,6.08,3.0,1000.0,119,1.43
2d454b7b-9f12-4acb-8101-d3ba74bb84ff.wav,humano,8000,1,16,4631200,578.9,9262444,-19.66,0.0,-0.000117,0.0004,-53.05,-15.01,38.04,0.86,1400.0,0.056,13944,False,21,16.1,2.78,1000.0,83,6.87
2e50e9db-53c9-4472-ad05-1ba1032dd707.wav,humano,8000,1,16,987200,123.4,1974444,-19.37,0.0,-7.6e-05,0.0015,-59.77,-15.01,44.76,9.39,1440.0,0.023,11638,False,12,12.25,9.93,1000.0,47,2.32
306c762c-73a1-4690-962d-53f1a14f05b6.wav,humano,8000,1,16,1060800,132.6,2121644,-21.45,-0.17,0.000165,0.0,-66.92,-15.55,51.37,17.02,1160.0,0.108,9098,False,12,8.27,6.24,1000.0,139,0.76
336a8602-1b56-4ca6-9dcc-7491b9a92a8a.wav,humano,8000,1,16,608000,76.0,1216044,-21.9,-2.72,-5.3e-05,0.0,-59.23,-16.57,42.66,7.38,1040.0,0.033,8232,False,8,5.7,7.5,1000.0,35,1.93
380f5075-47be-435f-b595-7e2c48dbb21b.wav,humano,8000,1,16,596480,74.56,1193004,-21.27,-0.01,-8.5e-05,0.0,-60.93,-15.69,45.24,10.17,1040.0,0.047,11616,False,4,3.63,4.87,1000.0,38,1.71
