grupo,file,ini,fin,hz,dbfs,dur,clip,correcto
humano,b954108b-c0c2-45e8-9032-1a3e87d60778.wav,71.87,72.69,1000.0,-15.0,0.82,b954108b_71.9-72.7.wav,
humano,74b16f62-f04d-42c8-9872-ea9b9ed1dd75.wav,586.72,587.26,1000.0,-15.0,0.54,74b16f62_586.7-587.3.wav,
humano,92778da9-c37a-4eee-9ca5-81f835e7c5a4.wav,70.76,71.44,1000.0,-15.0,0.68,92778da9_70.8-71.4.wav,
humano,e98181dc-2d7b-41ea-9524-59c721651a39.wav,20.15,20.89,1000.0,-15.0,0.74,e98181dc_20.1-20.9.wav,
humano,1e3beb83-824b-4ad5-8483-f4ff6ea3c05e.wav,76.44,78.22,1000.0,-15.0,1.78,1e3beb83_76.4-78.2.wav,
humano,ae0573ba-193e-42ac-bcc8-4c376a122f8e.wav,34.39,34.94,1000.0,-15.0,0.55,ae0573ba_34.4-34.9.wav,
humano,e76a6feb-b941-4dfc-aebf-4288c13c539c.wav,34.12,35.02,1000.0,-15.0,0.9,e76a6feb_34.1-35.0.wav,
humano,50e0f632-d195-4476-b049-3720482d65d9.wav,52.57,53.4,1000.0,-15.0,0.83,50e0f632_52.6-53.4.wav,
humano,ae0573ba-193e-42ac-bcc8-4c376a122f8e.wav,236.52,238.34,1000.0,-15.0,1.82,ae0573ba_236.5-238.3.wav,
humano,0d2d37dd-38a4-40dd-ac62-b430f722ed57.wav,345.53,346.24,1000.0,-15.0,0.71,0d2d37dd_345.5-346.2.wav,
ia,c8b57e01-57b6-4d85-9613-c786aef9f8a0.wav,311.08,311.76,1000.0,-15.0,0.68,c8b57e01_311.1-311.8.wav,
ia,da02116f-5f55-4cc7-a800-373f4939fa01.wav,231.57,232.09,1000.0,-15.1,0.52,da02116f_231.6-232.1.wav,
ia,07c816c7-cb2b-4178-ab85-e501f1c38bd9.wav,125.46,126.34,1000.0,-15.0,0.88,07c816c7_125.5-126.3.wav,
ia,9cf48045-df44-4648-b6ad-870d3c145615.wav,157.48,158.19,1000.0,-15.0,0.71,9cf48045_157.5-158.2.wav,
ia,19b3eddf-e2d6-4b68-befc-bdb10a10719a.wav,36.9,37.88,1000.0,-15.0,0.98,19b3eddf_36.9-37.9.wav,
ia,673f40d5-c6de-4cec-8c52-ad89b8382f38.wav,28.04,29.07,1000.0,-15.0,1.03,673f40d5_28.0-29.1.wav,
ia,3a02fcc2-2285-4d18-9fca-d8507ee15b7f.wav,12.6,13.2,1000.0,-15.0,0.6,3a02fcc2_12.6-13.2.wav,
ia,3df056d8-c16b-4665-bc8b-4c1456ed8592.wav,85.87,86.83,1000.0,-15.0,0.96,3df056d8_85.9-86.8.wav,
ia,3e8b2986-1ff4-4f4a-9554-c8b122601a03.wav,147.83,148.47,1000.0,-15.0,0.64,3e8b2986_147.8-148.5.wav,
ia,bdc7c768-e08e-4ce8-9e8e-ebb3618d311f.wav,135.04,135.82,1000.0,-15.0,0.78,bdc7c768_135.0-135.8.wav,
